"RvNumber"	"Mtnumber"	"Gene_Symbol"	"Gene_Description"
"Rv3128c"	"MT3214"	"Rv3128c"	"conserved hypothetical protein"
"Rv3129"	"MT3215"	"Rv3129"	"conserved hypothetical protein"
"Rv3130c"	"MT3216"	"Rv3130c"	"conserved hypothetical protein"
"Rv3131"	"MT3217"	"Rv3131"	"conserved hypothetical protein"
"Rv3132c"	"MT3218"	"Rv3132c"	"sensor histidine kinase"
"Rv3133c"	"MT3219"	"Rv3133c"	"two-component response regulator"
"Rv3134c"	"MT3220"	"Rv3134c"	"conserved hypothetical protein"
"Rv3135"	NA	"PPE"	"PPE-family protein"
"Rv3136"	"MT3221"	"PPE"	"PPE-family protein"
"Rv3137"	"MT3224"	"Rv3137"	"probable monophosphatase"
"Rv3138"	"MT3225"	"pflA"	"similar to pyruvate lyase activating protein"
"Rv3139"	"MT3226"	"fadE24"	"acyl-CoA dehydrogenase"
"Rv3140"	"MT3227"	"fadE23"	"acyl-CoA dehydrogenase"
"Rv3141"	"MT3228"	"fadB4"	"3-hydroxyacyl-CoA dehydrogenase"
"Rv3142c"	"MT3229"	"Rv3142c"	"hypothetical protein"
"Rv3143"	"MT3230"	"Rv3143"	"putative sensory transduction protein"
"Rv3144c"	"MT3231"	"PPE"	"PPE-family protein"
"Rv3145"	"MT3233"	"nuoA"	"NADH dehydrogenase chain A"
"Rv3146"	"MT3234"	"nuoB"	"NADH dehydrogenase chain B"
"Rv3147"	"MT3235"	"nuoC"	"NADH dehydrogenase chain C"
"Rv3148"	"MT3236"	"nuoD"	"NADH dehydrogenase chain D"
"Rv3149"	"MT3237"	"nuoE"	"NADH dehydrogenase chain E"
"Rv3150"	"MT3238"	"nuoF"	"NADH dehydrogenase chain F"
"Rv3151"	"MT3239"	"nuoG"	"NADH dehydrogenase chain G"
"Rv3152"	"MT3240"	"nuoH"	"NADH dehydrogenase chain H"
"Rv3153"	"MT3241"	"nuoI"	"NADH dehydrogenase chain I"
"Rv3154"	"MT3242"	"nuoJ"	"NADH dehydrogenase chain J"
"Rv3155"	"MT3243"	"nuoK"	"NADH dehydrogenase chain K"
"Rv3156"	"MT3244"	"nuoL"	"NADH dehydrogenase chain L"
"Rv3157"	"MT3245"	"nuoM"	"NADH dehydrogenase chain M"
"Rv3158"	"MT3246"	"nuoN"	"NADH dehydrogenase chain N"
"Rv3159c"	"MT3247"	"PPE"	"PPE-family protein"
"Rv3160c"	"MT3249"	"Rv3160c"	"putative transcriptional regulator"
"Rv3161c"	"MT3250"	"Rv3161c"	"putative dioxygenasesdiooxygenases"
"Rv3162c"	"MT3251"	"Rv3162c"	"probable membrane protein"
"Rv3163c"	"MT3252"	"Rv3163c"	"possible membrane protein"
"Rv3164c"	"MT3253"	"moxR3"	"transcriptional regulator, MoxR homologue"
"Rv3165c"	NA	"Rv3165c"	"hypothetical protein"
"Rv3166c"	NA	"Rv3166c"	"conserved hypothetical protein"
"Rv3167c"	"MT3256"	"Rv3167c"	"putative transcriptional regulator"
"Rv3168"	"MT3258"	"Rv3168"	"conserved hypothetical protein"
"Rv3169"	"MT3258"	"Rv3169"	"conserved hypothetical protein"
"Rv3170"	"MT3259"	"Rv3170"	"Probable flavin-containing monoamine oxidase"
"Rv3171c"	"MT3260"	"hpx"	"probable non-heme haloperoxidase"
"Rv3172c"	NA	"Rv3172c"	"hypothetical protein"
"Rv3173c"	"MT3262"	"Rv3173c"	"transcriptional regulator (TetR/AcrR family)"
"Rv3174"	"MT3263"	"Rv3174"	"putative oxidoreductase"
"Rv3175"	"MT3264"	"Rv3175"	"Probable amidase"
"Rv3176c"	"MT3265"	"lipS"	"probable esterase/lipase"
"Rv3177"	"MT3266"	"Rv3177"	"probable non-heme haloperoxidase"
"Rv3178"	"MT3267"	"Rv3178"	"conserved hypothetical protein"
"Rv3179"	"MT3270"	"Rv3179"	"conserved hypothetical protein"
"Rv3180c"	"MT3271"	"Rv3180c"	"hypothetical protein"
"Rv3181c"	"MT3272"	"Rv3181c"	"conserved hypothetical protein"
"Rv3182"	"MT3274"	"Rv3182"	"conserved hypothetical protein"
"Rv3183"	"MT3275"	"Rv3183"	"putative transcriptional regulator"
"Rv3184"	NA	"Rv3184"	"possible IS6110 transposase"
"Rv3185"	"MT2881"	"Rv3185"	"possible IS6110 transposase"
"Rv3186"	NA	"Rv3186"	"possible IS6110 transposase"
"Rv3187"	"MT2881"	"Rv3187"	"possible IS6110 transposase"
"Rv3188"	NA	"Rv3188"	"conserved hypothetical protein"
"Rv3189"	"MT3277"	"Rv3189"	"conserved hypothetical protein"
"Rv3190c"	"MT3278"	"Rv3190c"	"hypothetical protein"
"Rv3191c"	"MT3281"	"Rv3191c"	"hypothetical protein"
"Rv3192"	"MT3283"	"Rv3192"	"hypothetical protein"
"Rv3193c"	"MT3285"	"Rv3193c"	"probable integral membrane protein"
"Rv3194c"	"MT3286"	"Rv3194c"	"conserved hypothetical protein"
"Rv3195"	"MT3287"	"Rv3195"	"conserved hypothetical protein"
"Rv3196"	"MT3288"	"Rv3196"	"hypothetical protein"
"Rv3197"	"MT3290"	"Rv3197"	"probable ABC transporter"
"Rv3198c"	"MT3291"	"uvrD2"	"putative UvrD"
"Rv3199c"	"MT3293"	"Rv3199c"	"conserved hypothetical protein"
"Rv3200c"	"MT3294"	"Rv3200c"	"putative potassium channel"
"Rv3201c"	"MT3295"	"Rv3201c"	"probable ATP-dependent DNA helicase"
"Rv3202c"	"MT3296"	"Rv3202c"	"similar to UvrD proteins"
"Rv3203"	"MT3298"	"lipV"	"probable lipase"
"Rv3204;Rv3204"	NA	NA	NA
"Rv3205c"	"MT3300"	"Rv3205c"	"hypothetical protein"
"Rv3206c"	"MT3301"	"moeZ"	"probably involved in molybdopterin biosynthesis"
"Rv3207c"	NA	"Rv3207c"	"hypothetical protein"
"Rv3208"	"MT3303"	"Rv3208"	"transcriptional regulator (TetR/AcrR family)"
"Rv3209"	"MT3305"	"Rv3209"	"conserved hypothetical protein"
"Rv3210c"	"MT3306"	"Rv3210c"	"hypothetical protein"
"Rv3211"	"MT3307"	"rhlE"	"probable ATP-dependent RNA helicase"
"Rv3212"	"MT3308"	"Rv3212"	"hypothetical protein"
"Rv3213c"	"MT3309"	"Rv3213c"	"possible role in chromosome segregation"
"Rv3214"	"MT3310"	"entD"	"weak similarity to many phosphoglycerate mutases"
"Rv3215"	NA	"entC"	"probable isochorismate synthase"
"Rv3216"	"MT3312"	"Rv3216"	"possible acyltransferase"
"Rv3217c"	NA	"Rv3217c"	"possible membrane protein"
"Rv3218"	"MT3314"	"Rv3218"	"conserved hypothetical protein"
"Rv3219"	"MT3315"	"whiB1"	"WhiB transcriptional activator homologue"
"Rv3220c"	"MT3316"	"Rv3220c"	"sensor histidine kinase"
"Rv3221c"	NA	"Rv3221c"	"possible biotin carboxyl carrier"
"Rv3222c"	"MT3319"	"Rv3222c"	"conserved hypothetical protein"
"Rv3223c"	"MT3320"	"sigH"	"ECF subfamily sigma subunit"
"Rv3224"	"MT3321"	"Rv3224"	"putative oxidoreductases"
"Rv3224a"	NA	NA	"Uncharacterized conserved protein"
"Rv3225c"	"MT3323"	"Rv3225c"	"probable aminoglycoside 3 -phosphotransferases"
"Rv3226c"	"MT3323.1"	"Rv3226c"	"conserved hypothetical protein"
"Rv3227"	"MT3324"	"aroA"	"3-phosphoshikimate 1-carboxyvinyl transferase"
"Rv3228"	"MT3325"	"Rv3228"	"conserved hypothetical protein"
"Rv3229c"	"MT3326"	"desA3"	"acyl-[ACP] desaturase"
"Rv3230c"	"MT3327"	"Rv3230c"	"similar to various oxygenases"
"Rv3231c"	NA	"Rv3231c"	"hypothetical protein"
"Rv3232c"	"MT3329"	"pvdS"	"alternative sigma factor for siderophore production"
"Rv3233c"	NA	"Rv3233c"	"conserved hypothetical protein"
"Rv3234c"	"MT3331"	"Rv3234c"	"conserved hypothetical protein"
"Rv3235"	"MT3332"	"Rv3235"	"hypothetical protein"
"Rv3236c"	"MT3333"	"kefB"	"probable glutathione-regulated potassium-efflux"
"Rv3237c"	NA	"Rv3237c"	"possible potassium channel protein"
"Rv3238c"	"MT3335"	"Rv3238c"	"unknown, possible membrane protein"
"Rv3239c"	"MT3337"	"Rv3239c"	"possible antibiotic efflux proteins"
"Rv3240c"	"MT3338"	"secA"	"SecA, preprotein translocase subunit"
"Rv3241c"	"MT3339"	"Rv3241c"	"member of S30AE ribosomal protein family"
"Rv3242c"	"MT3340"	"Rv3242c"	"conserved hypothetical protein"
"Rv3243c"	"MT3341"	"Rv3243c"	"hypothetical protein"
"Rv3244c"	"MT3342"	"lpqB"	"lipoprotein"
"Rv3245c"	"MT3343"	"mtrB"	"sensor histidine kinase"
"Rv3246c"	"MT3344"	"mtrA"	"two-component response regulator"
"Rv3247c"	"MT3345"	"tmk"	"thymidylate kinase"
"Rv3248c"	"MT3346"	"sahH"	"adenosylhomocysteinase"
"Rv3249c"	"MT3347"	"Rv3249c"	"transcriptional regulator (TetR/AcrR family)"
"Rv3250c"	NA	"rubB"	"rubredoxin B"
"Rv3251c"	"MT3349"	"rubA"	"rubredoxin A"
"Rv3252c"	"MT3350"	"Rv3252c"	"possible alkane-1 monooxygenase"
"Rv3253c"	"MT3351"	"Rv3253c"	"probable cationic amino acid transport"
"Rv3254"	"MT3352"	"Rv3254"	"slight similarity to squalene"
"Rv3255c"	"MT3353"	"manA"	"mannose-6-phosphate isomerase"
"Rv3256c"	"MT3354"	"Rv3256c"	"hypothetical protein"
"Rv3257c"	"MT3355"	"pmmA"	"phosphomannomutase"
"Rv3258c"	"MT3356"	"Rv3258c"	"hypothetical protein"
"Rv3259"	"MT3357"	"Rv3259"	"hypothetical protein"
"Rv3260c"	"MT3358"	"whiB2"	"WhiB transcriptional activator homologue"
"Rv3261"	"MT3359"	"Rv3261"	"conserved hypothetical protein"
"Rv3262"	"MT3361"	"Rv3262"	"conserved hypothetical protein"
"Rv3263"	"MT3363"	"Rv3263"	"probable DNA methylase"
"Rv3264c"	"MT3364"	"rmlA2"	"glucose-1-phosphate thymidyltransferase"
"Rv3265c"	"MT3365"	"wbbL"	"dTDP-rhamnosyl transferase"
"Rv3266c"	NA	"rmlD"	"dTDP-4-dehydrorhamnose reductase"
"Rv3267"	"MT3367"	"Rv3267"	"conserved hypothetical protein"
"Rv3268"	"MT3368"	"Rv3268"	"hypothetical protein"
"Rv3269"	"MT3369"	"Rv3269"	"probable heat shock protein"
"Rv3270"	"MT3370"	"ctpC"	"cation transport ATPase"
"Rv3271c"	"MT3371"	"Rv3271c"	"hypothetical protein"
"Rv3272"	"MT3372"	"Rv3272"	"conserved hypothetical protein"
"Rv3273"	"MT3373"	"Rv3273"	"C-term similar to carbonic anhydrase"
"Rv3274c"	"MT3374"	"fadE25"	"acyl-CoA dehydrogenase"
"Rv3275c"	"MT3375"	"purE"	"phosphoribosylaminoimidazole carboxylase"
"Rv3276c"	"MT3376"	"purK"	"phosphoribosylaminoimidazole carboxylase ATPase"
"Rv3277"	"MT3377"	"Rv3277"	"conserved hypothetical protein"
"Rv3278c;Rv3278c"	NA	NA	NA
"Rv3279c"	"MT3379"	"birA"	"biotin apo-protein ligase"
"Rv3280"	"MT3379.1"	"accD5"	"acetyl/propionyl CoA carboxylase [beta] subunit"
"Rv3281"	"MT3380"	"Rv3281"	"conserved hypothetical protein"
"Rv3282"	"MT3381"	"Rv3282"	"conserved hypothetical protein"
"Rv3283"	"MT3382"	"sseA"	"thiosulfate sulfurtransferase"
"Rv3284"	"MT3383"	"Rv3284"	"conserved hypothetical protein"
"Rv3285"	"MT3384"	"accA3"	"acetyl/propionyl CoA carboxylase [alpha] subunit"
"Rv3286c"	"MT3385"	"sigF"	"ECF subfamily sigma subunit"
"Rv3287c;Rv3287c"	NA	NA	NA
"Rv3288c"	"MT3387"	"Rv3288c"	"conserved hypothetical protein"
"Rv3289c"	"MT3388"	"Rv3289c"	"hypothetical protein"
"Rv3290c"	"MT3389"	"lat"	"lysine-[epsilon] aminotransferase"
"Rv3291c"	NA	"Rv3291c"	"transcriptional regulator (Lrp/AsnC family)"
"Rv3292"	"MT3391"	"Rv3292"	"conserved hypothetical protein"
"Rv3293"	"MT3392"	"aldB"	"aldehyde dehydrogenase"
"Rv3294"	NA	"Rv3294"	"hypothetical protein"
"Rv3295"	"MT3394"	"Rv3295"	"transcriptional regulator (TetR/AcrR family)"
"Rv3296"	"MT3395"	"lhr"	"ATP-dependent helicase"
"Rv3297"	"MT3396"	"nei"	"probable endonuclease VIII"
"Rv3298c"	"MT3397"	"lpqC"	"similar to MTCI376.03c"
"Rv3299c"	"MT3398"	"atsB"	"proable arylsulfatase"
"Rv3300c"	"MT3399"	"Rv3300c"	"probable deaminase, riboflavin synthesis"
"Rv3301c"	"MT3400"	"phoY1"	"phosphate transport system regulator"
"Rv3302c"	"MT3401"	"glpD2"	"glycerol-3-phosphate dehydrogenase"
"Rv3303c"	"MT3402"	"lpdA"	"dihydrolipoamide dehydrogenase"
"Rv3304"	"MT3403"	"Rv3304"	"conserved hypothetical protein"
"Rv3305c"	"MT3404"	"amiA"	"probable aminohydrolase"
"Rv3306c"	"MT3405"	"amiB"	"probable aminohydrolase"
"Rv3307"	"MT3406"	"deoD"	"probable purine nucleoside phosphorylase"
"Rv3308"	"MT3407"	"pmmB"	"phosphomannomutase"
"Rv3309c"	"MT3408"	"upp"	"uracil phophoribosyltransferase"
"Rv3310"	"MT3409"	"Rv3310"	"probable acid phosphatase"
"Rv3311"	"MT3410"	"Rv3311"	"conserved hypothetical protein"
"Rv3312c"	"MT3411"	"Rv3312c"	"conserved hypothetical protein"
"Rv3313c"	"MT3414"	"add"	"probable adenosine deaminase"
"Rv3314c"	"MT3415"	"deoA"	"thymidine phosphorylase"
"Rv3315c"	"MT3416"	"cdd"	"probable cytidine deaminase"
"Rv3316"	"MT3417"	"sdhC"	"succinate dehydrogenase C subunit"
"Rv3317"	"MT3418"	"sdhD"	"succinate dehydrogenase D subunit"
"Rv3318"	NA	"sdhA"	"succinate dehydrogenase A"
"Rv3319"	"MT3420"	"sdhB"	"succinate dehydrogenase B"
"Rv3320c"	"MT3421"	"Rv3320c"	"conserved hypothetical protein"
"Rv3321c"	"MT3422"	"Rv3321c"	"conserved hypothetical protein"
"Rv3322c"	"MT3423"	"moaE3"	"molybdopterin-converting factor subunit 2"
"Rv3323c"	"MT3424"	"gphA"	"phosphoglycolate phosphatase"
"Rv3324c"	"MT3425"	"moaC3"	"molybdenum cofactor biosynthesis, protein C"
"Rv3325"	NA	"Rv3325"	"possible IS6110 transposase"
"Rv3326"	"MT2881"	"Rv3326"	"possible IS6110 transposase"
"Rv3327"	"MT3430"	"Rv3327"	"hypothetical protein"
"Rv3328c;Rv3328c"	NA	NA	NA
"Rv3329"	"MT3432"	"Rv3329"	"probable aminotransferase"
"Rv3330"	"MT3433"	"Rv3330"	"probable penicillin binding protein"
"Rv3331"	"MT3434"	"sugI"	"probable sugar transport protein"
"Rv3332"	"MT3435"	"nagA"	"N-acetylglucosamine-6-P-deacetylase"
"Rv3333c"	"MT3437"	"Rv3333c"	"hypothetical protein"
"Rv3334"	"MT3438"	"Rv3334"	"transcriptional regulator (MerR family)"
"Rv3335c"	"MT3439"	"Rv3335c"	"conserved hypothetical protein"
"Rv3336c"	NA	"trpS"	"tryptophanyl tRNA synthase"
"Rv3337;Rv3337"	NA	NA	NA
"Rv3338"	"MT3441"	"Rv3338"	"conserved hypothetical protein"
"Rv3339c"	"MT3442"	"icd1"	"isocitrate dehydrogenase"
"Rv3340"	"MT3443"	"metC"	"cystathionine [beta]-lyase"
"Rv3341"	"MT3444"	"metA"	"homoserine o-acetyltransferase"
"Rv3342"	"MT3445"	"Rv3342"	"conserved hypothetical protein"
"Rv3343c;Rv3343c"	NA	NA	NA
"Rv3344c;Rv3344c"	NA	NA	NA
"Rv3345c;Rv3345c"	NA	NA	NA
"Rv3346c"	"MT3450"	"Rv3346c"	"conserved hypothetical protein"
"Rv3347c"	"MT3453"	"PPE"	"PPE-family protein"
"Rv3348"	"MT3455"	"Rv3348"	"weakly similar to transposases"
"Rv3349c"	"MT3456"	"Rv3349c"	"hypothetical protein"
"Rv3350c"	"MT3458"	"PPE"	"PPE-family protein"
"Rv3351c"	"MT3459"	"Rv3351c"	"conserved hypothetical protein"
"Rv3352c"	"MT3460"	"Rv3352c"	"defective/truncated oxidoreductase"
"Rv3353c"	"MT3461"	"Rv3353c"	"conserved hypothetical protein"
"Rv3354"	"MT3462"	"Rv3354"	"conserved hypothetical protein"
"Rv3355c"	"MT3463"	"Rv3355c"	"conserved hypothetical protein"
"Rv3356c"	"MT3464"	"folD"	"methylenetetrahydrofolate dehydrogenase"
"Rv3357"	"MT3465"	"Rv3357"	"conserved hypothetical protein"
"Rv3358"	"MT3466"	"Rv3358"	"hypothetical protein"
"Rv3359"	"MT3467"	"Rv3359"	"probable oxidoreductase"
"Rv3360"	"MT3468"	"Rv3360"	"possible ABC transporter"
"Rv3361c"	"MT3469"	"Rv3361c"	"conserved hypothetical protein"
"Rv3362c"	"MT3470"	"Rv3362c"	"hypothetical protein"
"Rv3363c"	NA	"Rv3363c"	"hypothetical protein"
"Rv3364c"	NA	"Rv3364c"	"hypothetical protein"
"Rv3365c"	"MT3474"	"Rv3365c"	"conserved hypothetical protein"
"Rv3366"	"MT3475"	"spoU"	"probable rRNA methylase"
"Rv3367"	"MT3476"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv3368c"	"MT3477"	"Rv3368c"	"conserved hypothetical protein"
"Rv3369"	"MT3478"	"Rv3369"	"conserved hypothetical protein"
"Rv3370c"	"MT3480"	"dnaE2"	"DNA polymerase III [alpha] chain"
"Rv3371"	"MT3481"	"Rv3371"	"conserved hypothetical protein"
"Rv3372"	"MT3482"	"otsB2"	"trehalose-6-phosphate phosphatase"
"Rv3373"	"MT3484"	"echA18"	"enoyl-CoA hydratase/isomerase superfamily, N-term"
"Rv3374"	"MT3484"	"echA18 "	"enoyl-CoA hydratase/isomerase superfamily, C-term"
"Rv3375"	"MT3485"	"amiD"	"probable amidase, v. similar MTCY50.19"
"Rv3376"	"MT3486"	"Rv3376"	"conserved hypothetical protein"
"Rv3377c"	"MT3487"	"Rv3377c"	"similar to many cyclases involved in steroid biosynthesis"
"Rv3378c"	"MT3488"	"Rv3378c"	"hypothetical protein"
"Rv3379c"	NA	"Rv3379c"	"unknown transketolase, interrupted by IS6110"
"Rv3380c"	"MT2881"	"Rv3380c"	"possible IS6110 transposase"
"Rv3381c"	NA	"Rv3381c"	"possible IS6110 transposase"
"Rv3382c"	"MT3490"	"lytB"	"LytB protein homologue"
"Rv3383c"	"MT3491"	"idsB"	"transfergeranyl, similar geranyl pyrophosphate"
"Rv3384c"	"MT3492"	"Rv3384c"	"conserved hypothetical protein"
"Rv3385c"	"MT3493"	"Rv3385c"	"conserved hypothetical protein"
"Rv3386"	"MT3494"	"Rv3386"	"hypothetical protein"
"Rv3387"	"MT3494.1"	"Rv3387"	"hypothetical protein"
"Rv3388"	"MT3495"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv3389c"	"MT3496"	"Rv3389c"	"putative dehydrogenase"
"Rv3390"	"MT3497"	"lpqD"	"lipoprotein"
"Rv3391"	"MT3498"	"acrA1"	"fatty acyl-CoA reductase"
"Rv3392c"	"MT3499"	"cmaA1"	"cyclopropane mycolic acid synthase 1"
"Rv3393"	"MT3500"	"iunH"	"probable inosine-uridine preferring nucleoside"
"Rv3394c"	"MT3501"	"Rv3394c"	"hypothetical protein"
"Rv3395c"	"MT3502"	"Rv3395c"	"hypothetical protein"
"Rv3396c"	"MT3504"	"guaA"	"GMP synthase"
"Rv3397c"	"MT3505"	"phyA"	"phytoene synthase"
"Rv3398c"	"MT3506"	"idsA"	"geranylgeranyl pyrophosphate synthase"
"Rv3399"	"MT3507"	"Rv3399"	"conserved hypothetical protein"
"Rv3400"	"MT3508"	"Rv3400"	"probable [beta]-phosphoglucomutase"
"Rv3401"	"MT3509"	"Rv3401"	"conserved hypothetical protein"
"Rv3402c"	"MT3510"	"Rv3402c"	"possible involved in LPS synthesis"
"Rv3403c"	"MT3511"	"Rv3403c"	"hypothetical protein"
"Rv3404c"	"MT3512"	"Rv3404c"	"hypothetical protein"
"Rv3405c"	NA	"Rv3405c"	"putative transcriptional regulator"
"Rv3406"	"MT3514"	"Rv3406"	"putative dioxygenasediooxygenase"
"Rv3407"	"MT3515"	"Rv3407"	"conserved hypothetical protein"
"Rv3408"	"MT3516"	"Rv3408"	"conserved hypothetical protein"
"Rv3409c"	"MT3517"	"choD"	"cholesterol oxidase"
"Rv3410c"	NA	"guaB3"	"inosine-5 -monophosphate dehydrogenase"
"Rv3411c"	"MT3519"	"guaB2"	"inosine-5 -monophosphate dehydrogenase"
"Rv3412"	"MT3521"	"Rv3412"	"conserved hypothetical protein"
"Rv3413c"	"MT3522"	"Rv3413c"	"hypothetical protein"
"Rv3414c"	"MT3523"	"sigD"	"ECF subfamily sigma subunit"
"Rv3415c"	"MT3524"	"Rv3415c"	"conserved hypothetical protein"
"Rv3416"	"MT3525"	"whiB3"	"WhiB transcriptional activator homologue"
"Rv3417c"	"MT3526"	"groEL1"	"60 kD chaperonin 1"
"Rv3418c"	"MT3527"	"groES"	"10 kD chaperone"
"Rv3419c"	"MT3528"	"gcp"	"glycoprotease"
"Rv3420c"	"MT3529"	"rimI"	"ribosomal protein S18 acetyltransferase"
"Rv3421c"	"MT3530"	"Rv3421c"	"conserved hypothetical protein"
"Rv3422c"	"MT3531"	"Rv3422c"	"conserved hypothetical protein"
"Rv3423c"	"MT3532"	"alr"	"alanine racemase"
"Rv3424c"	"MT3532.2"	"Rv3424c"	"hypothetical protein"
"Rv3425"	NA	"PPE"	"PPE-family protein"
"Rv3426"	NA	"PPE"	"PPE-family protein"
"Rv3427c"	NA	"Rv3427c"	"hypothetical protein"
"Rv3428c"	NA	"Rv3428c"	"hypothetical protein"
"Rv3429"	"MT3533"	"PPE"	"PPE-family protein"
"Rv3430c"	"MT3534"	"Rv3430c"	"transposase"
"Rv3431c"	"MT3537"	"Rv3431c"	"probable truncated transposase"
"Rv3432c"	"MT3538"	"gadB"	"glutamate decarboxylase"
"Rv3433c"	"MT3539"	"Rv3433c"	"conserved hypothetical protein"
"Rv3434c"	"MT3540"	"Rv3434c"	"conserved hypothetical protein"
"Rv3435c"	NA	"Rv3435c"	"conserved hypothetical protein"
"Rv3436c"	"MT3542"	"glmS"	"glucosamine-fructose-6-phosphate aminotransferase"
"Rv3437"	"MT3542.1"	"Rv3437"	"hypothetical protein"
"Rv3438"	"MT3543"	"Rv3438"	"conserved hypothetical protein"
"Rv3439c"	"MT3544"	"Rv3439c"	"conserved hypothetical protein"
"Rv3440c"	"MT3545"	"Rv3440c"	"hypothetical protein"
"Rv3441c"	"MT3546"	"mrsA"	"phosphoglucomutase or phosphomannomutase"
"Rv3442c"	"MT3547"	"rpsI"	"30S ribosomal protein S9"
"Rv3443c"	"MT3548"	"rplM"	"50S ribosomal protein L13"
"Rv3444c"	"MT3549"	"Rv3444c"	"conserved hypothetical protein"
"Rv3445c"	"MT3550"	"Rv3445c"	"hypothetical protein"
"Rv3446c"	"MT3551"	"Rv3446c"	"hypothetical protein"
"Rv3447c"	"MT3553"	"Rv3447c"	"probable membrane protein"
"Rv3448"	"MT3554"	"Rv3448"	"probable membrane protein"
"Rv3449"	"MT3555"	"Rv3449"	"probable precursor of serine protease"
"Rv3450c"	"MT3556"	"Rv3450c"	"probable membrane spanning protein"
"Rv3451"	"MT3557"	"Rv3451"	"probable cutinase"
"Rv3452"	"MT3559"	"Rv3452"	"probable cutinase precursor"
"Rv3453"	"MT3561"	"Rv3453"	"hypothetical protein"
"Rv3454"	"MT3561"	"Rv3454"	"some similarity to proline permeases"
"Rv3455c"	"MT3562"	"truA"	"probable pseudouridylate synthase"
"Rv3456c"	"MT3563"	"rplQ"	"50S ribosomal protein L17"
"Rv3457c"	"MT3564"	"rpoA"	"[alpha] subunit of RNA polymerase"
"Rv3458c"	"MT3565"	"rpsD"	"30S ribosomal protein S4"
"Rv3459c"	"MT3566"	"rpsK"	"30S ribosomal protein S11"
"Rv3460c;Rv3460c;Rv3460c;Rv3460c;Rv3460c;Rv3460c;Rv3460c;Rv3460c;Rv3460c"	NA	NA	NA
"Rv3461c;Rv3461c;Rv3461c;Rv3461c;Rv3461c;Rv3461c;Rv3461c;Rv3461c;Rv3461c"	NA	NA	NA
"Rv3462c"	"MT3568"	"infA"	"initiation factor IF-1"
"Rv3463"	"MT3569"	"Rv3463"	"probable neuraminidase"
"Rv3464"	"MT3570"	"rmlB"	"dTDP-glucose 4,6-dehydratase"
"Rv3465"	"MT3571"	"rmlC"	"dTDP-4-dehydrorhamnose 3,5-epimerase"
"Rv3466"	"MT0103"	"Rv3466"	"REP-family protein"
"Rv3467"	NA	"Rv3467"	"REP-family protein"
"Rv3468c"	"MT3574"	"rmlB3"	"dTDP-glucose 4,6-dehydratase"
"Rv3469c"	"MT3575"	"mhpE"	"probable 4-hydroxy-2-oxovalerate aldolase"
"Rv3470c"	NA	"ilvB2"	"acetolactate synthase large subunit"
"Rv3471c"	"MT3577"	"Rv3471c"	"conserved hypothetical protein"
"Rv3472"	"MT3578"	"Rv3472"	"possible acyl carrier protein"
"Rv3473c"	NA	"bpoA"	"probable non-heme bromoperoxidase"
"Rv3474"	NA	"Rv3474"	"possible IS6110 transposase"
"Rv3475"	"MT2881"	"Rv3475"	"possible IS6110 transposase"
"Rv3476c"	NA	"kgtP"	"sugar transport protein"
"Rv3477"	"MT3581"	"PE"	"PE-family protein"
"Rv3478"	NA	"PPE"	"PPE-family protein"
"Rv3479"	"MT3583"	"Rv3479"	"hypothetical protein"
"Rv3480c"	"MT3584"	"Rv3480c"	"conserved hypothetical protein"
"Rv3481c"	"MT3585"	"Rv3481c"	"possible membrane protein"
"Rv3482c"	NA	"Rv3482c"	"unknown membrane protein"
"Rv3483c"	"MT3587"	"Rv3483c"	"conserved hypothetical protein"
"Rv3484"	"MT3588"	"cpsA"	"cpsA,CpsA : Q50160"
"Rv3485c"	"MT3589"	"Rv3485c"	"short-chain alcohol dehydrogenase family"
"Rv3486"	"MT3590"	"Rv3486"	"conserved hypothetical protein"
"Rv3487c"	"MT3591"	"lipF"	"probable esterase"
"Rv3488"	NA	"Rv3488"	"conserved hypothetical protein"
"Rv3489"	NA	"Rv3489"	"hypothetical protein"
"Rv3490"	"MT3594"	"otsA"	"probable [alpha],-trehalose-phosphate synthase"
"Rv3491"	"MT3595"	"Rv3491"	"hypothetical protein"
"Rv3492c"	"MT3596"	"Rv3492c"	"conserved hypothetical protein"
"Rv3493c"	"MT3597"	"Rv3493c"	"hypothetical protein"
"Rv3494c"	"MT3598"	"Rv3494c"	"part of mce4 operon"
"Rv3495c"	"MT3599"	"lprN"	"part of mce4 operon"
"Rv3496c"	"MT3600"	"Rv3496c"	"part of mce4 operon"
"Rv3497c"	"MT3601"	"Rv3497c"	"part of mce4 operon"
"Rv3498c"	"MT3602"	"Rv3498c"	"part of mce4 operon"
"Rv3499c"	"MT3603"	"mce4"	"cell invasion protein"
"Rv3500c"	"MT3604"	"Rv3500c"	"part of mce4 operon"
"Rv3501c"	NA	"Rv3501c"	"part of mce4 operon"
"Rv3502c"	"MT3606"	"Rv3502c"	"putative dehydrogenase"
"Rv3503c"	"MT3607"	"fdxD"	"probable ferredoxin"
"Rv3504"	"MT3608"	"fadE26"	"acyl-CoA dehydrogenase"
"Rv3505"	"MT3609"	"fadE27"	"acyl-CoA dehydrogenase"
"Rv3506"	"MT3610"	"fadD17"	"acyl-CoA synthase"
"Rv3507;Rv3507"	NA	NA	NA
